SELECT
    t.trade_date,
    STDDEV(t.close) OVER (
        ORDER BY t.trade_date
        ROWS BETWEEN 6 PRECEDING AND CURRENT ROW
    ) AS rolling_volatility
FROM trades t
JOIN instrument i ON t.instrument_id = i.instrument_id
WHERE i.symbol = 'NIFTY'

-------------------------
Output


"trade_date","rolling_volatility"
"2019-08-01",NULL
"2019-08-01","1331.658845669566"
"2019-08-01","1525.980879904245"
"2019-08-01","1408.714649659989"
"2019-08-01","1220.528008384076"
"2019-08-01","1164.536542864442"
"2019-08-01","1117.070052264703"
"2019-08-01","586.619739634264"
"2019-08-01","526.817918192397"
"2019-08-01","540.060962498018"
"2019-08-01","544.921556062801"
"2019-08-01","541.182331192767"
"2019-08-01","1120.796542589668"
"2019-08-01","1118.551749606436"
"2019-08-01","1158.343630803834"
"2019-08-01","1221.259604777749"
"2019-08-01","1280.014688020266"
"2019-08-01","1259.491231230936"
"2019-08-01","1330.710174028103"
"2019-08-01","937.976184843375"
"2019-08-01","936.660143236901"
"2019-08-01","1019.769812962009"
"2019-08-01","925.225857496942"
"2019-08-01","881.500883436880"
"2019-08-01","799.397861414035"
"2019-08-01","803.698002835583"
"2019-08-01","824.653576473465"
"2019-08-01","791.143959117188"
"2019-08-01","891.989698851474"
"2019-08-01","913.235675913893"
"2019-08-01","921.858532556715"
"2019-08-01","1103.826975312966"
"2019-08-01","1082.926287393824"
"2019-08-01","1457.464837401543"
"2019-08-01","1358.496594585353"
"2019-08-01","1310.785658398010"
"2019-08-01","1275.547146465838"
"2019-08-01","1270.607639225085"
"2019-08-01","1283.417652161973"
"2019-08-01","1202.678358864477"
"2019-08-01","715.728849212632"
"2019-08-01","716.669370786704"
"2019-08-01","610.042506325428"
"2019-08-01","676.305124502670"
"2019-08-01","498.712868888741"
"2019-08-01","945.194042877163"
"2019-08-01","991.843427843903"
"2019-08-01","959.425783873826"
"2019-08-01","962.885742121542"
"2019-08-01","1064.490037138285"
"2019-08-01","1121.127965753793"
"2019-08-01","1159.428926495815"
"2019-08-01","773.419523239859"
"2019-08-01","762.971580089199"
"2019-08-01","1245.027417990310"
"2019-08-01","1189.716025991077"
"2019-08-01","1100.392458290180"
"2019-08-01","1597.958627921142"
"2019-08-01","1608.274059837943"
"2019-08-01","1787.390837692380"
"2019-08-01","1768.419130385748"
"2019-08-01","2104.293230799946"
"2019-08-01","2021.054786668161"
"2019-08-01","2037.762323370324"
"2019-08-01","2009.618949162585"
"2019-08-01","1929.433487112338"
"2019-08-01","1814.774189088260"
"2019-08-01","2027.447935389288"
"2019-08-01","1531.961321857268"
"2019-08-01","1444.462285683467"
"2019-08-01","1408.020776869162"
"2019-08-01","1413.257924931239"
"2019-08-01","2012.912802265366"
"2019-08-01","2018.457520578759"
